Location,OrderID,OrderUUID,OrderDate,RatingType,RatingScore,PrimaryKey
Kreuzberg,#46500,8ad23798-6bc1-5b7c-a74a-1c9e6a727dff,2023-03-14,Consumer To Merchant,3,#46500 - Kreuzberg - 2023-03-14
Mitte,#E2C52,5c34012d-18d0-514c-a5c8-3e81dfb1369d,2023-03-14,Consumer To Merchant,5,#E2C52 - Mitte - 2023-03-14
Mitte,#790AB,a4fc07f7-1798-5f49-b725-ba1110eda524,2023-03-05,Consumer To Merchant,5,#790AB - Mitte - 2023-03-05
Bergmannkiez,#67449,3d2a8b2e-ba85-5217-8d18-e541405112cc,2023-03-02,Consumer To Merchant,4,#67449 - Bergmannkiez - 2023-03-02
Mitte,#C5D22,655ea435-1a6b-53e4-a877-0cf6f5f2de7d,2023-03-05,Consumer To Merchant,5,#C5D22 - Mitte - 2023-03-05
Bergmannkiez,#44B92,4bcc86f8-1b90-5098-ac21-55509209c134,2023-03-04,Consumer To Merchant,5,#44B92 - Bergmannkiez - 2023-03-04
Bergmannkiez,#F6C40,3d4f492f-cc24-55de-a512-2051bfa5cf18,2023-03-07,Consumer To Merchant,5,#F6C40 - Bergmannkiez - 2023-03-07
Friedrichshain,#73611,da5a11d9-ef5b-5e13-baed-91c0b0f5d92d,2023-03-01,Consumer To Merchant,5,#73611 - Friedrichshain - 2023-03-01
Friedrichshain,#D33DB,f6bc64bf-ae3e-5d50-b6b8-0c5a4dc1e1ce,2023-03-11,Consumer To Merchant,5,#D33DB - Friedrichshain - 2023-03-11
Bergmannkiez,#35244,be52eb6a-909e-55ae-bcab-f90c0af82124,2023-03-01,Consumer To Merchant,4,#35244 - Bergmannkiez - 2023-03-01
Friedrichshain,#0C24A,a91a8bdd-9204-5023-a565-d6a4f133f46e,2023-03-01,Consumer To Merchant,5,#0C24A - Friedrichshain - 2023-03-01
Bergmannkiez,#AD32D,c6d302e1-cd47-53dd-83a5-984abe987a02,2023-03-10,Consumer To Merchant,2,#AD32D - Bergmannkiez - 2023-03-10
Prenzlauer Berg,#99386,5a3deed7-2bad-585a-a320-299bf9e95be6,2023-03-04,Consumer To Merchant,5,#99386 - Prenzlauer Berg - 2023-03-04
Mitte,#8B6FF,f27142a4-5427-5c0c-92ee-f7f75085e155,2023-03-01,Consumer To Merchant,5,#8B6FF - Mitte - 2023-03-01
Bergmannkiez,#6F187,33ebf5f9-db91-5d48-a7f7-f594951a8daf,2023-03-06,Consumer To Merchant,5,#6F187 - Bergmannkiez - 2023-03-06
Bergmannkiez,#A46C3,a76fa08f-e37f-5e3c-90a2-8dd2f043f381,2023-03-12,Consumer To Merchant,5,#A46C3 - Bergmannkiez - 2023-03-12
Prenzlauer Berg,#BF7A5,dfcf711c-94d4-5aee-a36a-42c55a0eb9a8,2023-03-04,Consumer To Merchant,5,#BF7A5 - Prenzlauer Berg - 2023-03-04
Charlottenburg,#67094,ac7996a0-dfd7-513c-a5d1-088995cfafb5,2023-03-03,Consumer To Merchant,5,#67094 - Charlottenburg - 2023-03-03
Bergmannkiez,#CE966,420897d8-4cf2-50b9-8ed1-bf9c7421e76d,2023-03-02,Consumer To Merchant,4,#CE966 - Bergmannkiez - 2023-03-02
Friedrichshain,#2F035,316f3023-6d3b-5c00-8d7d-87509728192f,2023-03-12,Consumer To Merchant,1,#2F035 - Friedrichshain - 2023-03-12
Mitte,#97763,a84f46dd-9e9f-5bc1-86ee-0e834684ec16,2023-03-12,Consumer To Merchant,3,#97763 - Mitte - 2023-03-12
Friedrichshain,#01EC0,6763f3f4-6f5a-5bf4-a2af-c4cbbc11f94a,2023-03-03,Consumer To Merchant,5,#01EC0 - Friedrichshain - 2023-03-03
Bergmannkiez,#735F6,4381b307-d71a-5dba-aff3-ad7fb1b0c010,2023-03-02,Consumer To Merchant,5,#735F6 - Bergmannkiez - 2023-03-02
Prenzlauer Berg,#2D229,c0b74403-18da-51da-8845-2a83332b24f8,2023-03-07,Consumer To Merchant,5,#2D229 - Prenzlauer Berg - 2023-03-07
Prenzlauer Berg,#5C475,0b515a81-f432-5d9e-9844-03973a9515b9,2023-03-01,Consumer To Merchant,4,#5C475 - Prenzlauer Berg - 2023-03-01
Bergmannkiez,#7AD77,353e00f3-8ef0-537a-9495-9791f42066da,2023-03-12,Consumer To Merchant,3,#7AD77 - Bergmannkiez - 2023-03-12
Prenzlauer Berg,#6FC0A,f46b18f4-eae3-5ee1-b11d-e59cd81ee1e6,2023-03-03,Consumer To Merchant,2,#6FC0A - Prenzlauer Berg - 2023-03-03
Mitte,#F9969,b3661d08-caef-519c-8400-b83f49502a22,2023-03-06,Consumer To Merchant,5,#F9969 - Mitte - 2023-03-06
Friedrichshain,#0133A,8c08a146-4c87-5bfd-b011-ecfd90effa19,2023-03-02,Consumer To Merchant,5,#0133A - Friedrichshain - 2023-03-02
Friedrichshain,#6E436,29b7c704-2353-54a7-b403-42929353ccb2,2023-03-02,Consumer To Merchant,5,#6E436 - Friedrichshain - 2023-03-02
Bergmannkiez,#3AA1F,f7bca294-f36d-56a6-bbd1-d12e3c94056d,2023-03-12,Consumer To Merchant,5,#3AA1F - Bergmannkiez - 2023-03-12
Prenzlauer Berg,#B0122,b3322626-72f0-5859-abc4-2966b05a46a0,2023-03-02,Consumer To Merchant,5,#B0122 - Prenzlauer Berg - 2023-03-02
Bergmannkiez,#C3D68,f31a0000-0234-56ee-8336-6f150c2d2551,2023-03-02,Consumer To Merchant,1,#C3D68 - Bergmannkiez - 2023-03-02
Prenzlauer Berg,#6F92F,b73851fc-1bac-5308-9f5c-4c9d8a820a1d,2023-03-03,Consumer To Merchant,5,#6F92F - Prenzlauer Berg - 2023-03-03
Prenzlauer Berg,#80890,4d3e007b-eee3-56ee-96f8-1ad4212ea99f,2023-03-03,Consumer To Merchant,5,#80890 - Prenzlauer Berg - 2023-03-03
Bergmannkiez,#0F529,8803f129-a40f-5142-a92f-c676e3b9c022,2023-03-03,Consumer To Merchant,5,#0F529 - Bergmannkiez - 2023-03-03
Mitte,#D2C0C,be323704-323c-5c58-8d58-5334bf8844bc,2023-03-02,Consumer To Merchant,5,#D2C0C - Mitte - 2023-03-02
Charlottenburg,#136DB,dc407a3f-39f4-5bad-a610-44c306cff0fd,2023-03-01,Consumer To Merchant,1,#136DB - Charlottenburg - 2023-03-01
Bergmannkiez,#4FE34,b9dcc301-bbfc-5b58-b01d-f37c54464a65,2023-03-01,Consumer To Merchant,5,#4FE34 - Bergmannkiez - 2023-03-01
Mitte,#7CF53,d6c05655-f4e3-58d9-9325-29cfecace805,2023-03-04,Consumer To Merchant,5,#7CF53 - Mitte - 2023-03-04
Prenzlauer Berg,#FF1D6,e5eee2d0-7ce8-5ec2-97cb-dbc004fa457e,2023-03-08,Consumer To Merchant,5,#FF1D6 - Prenzlauer Berg - 2023-03-08
Samariterkiez,#A2D90,c8324d61-84f7-5d93-8e05-aecf31391d84,2023-04-30,Consumer To Merchant,5,#A2D90 - Samariterkiez - 2023-04-30
Prenzlauer Berg,#C3D68,bf38ebfc-f445-5915-b778-6aae37dd5b27,2023-04-28,Consumer To Merchant,5,#C3D68 - Prenzlauer Berg - 2023-04-28
Mitte,#B6B98,6a61cd07-7cc9-58b5-a02a-f96452889b8d,2023-04-28,Consumer To Merchant,5,#B6B98 - Mitte - 2023-04-28
Prenzlauer Berg,#74241,e9e3ca42-3e6a-554c-a496-a2916b308bd7,2023-04-28,Consumer To Merchant,5,#74241 - Prenzlauer Berg - 2023-04-28
Charlottenburg,#E5CE2,37d81e6f-6fac-5af9-9ad8-bdea32724609,2023-04-26,Consumer To Merchant,5,#E5CE2 - Charlottenburg - 2023-04-26
Charlottenburg,#8DF3B,63bdbb87-73bb-56e1-bf50-f764b664cd32,2023-04-26,Consumer To Merchant,5,#8DF3B - Charlottenburg - 2023-04-26
Samariterkiez,#C7499,de8844c2-4c6d-57c6-86bc-68e2ef4fb41f,2023-04-25,Consumer To Merchant,1,#C7499 - Samariterkiez - 2023-04-25
Prenzlauer Berg,#3DBA6,f08df34b-2842-5842-a7d0-b007551d8533,2023-04-30,Consumer To Merchant,5,#3DBA6 - Prenzlauer Berg - 2023-04-30
Samariterkiez,#5048F,f9cea173-1231-51fc-8eea-44b0db788456,2023-04-28,Consumer To Merchant,5,#5048F - Samariterkiez - 2023-04-28
Prenzlauer Berg,#EF0F0,53208ada-a3ac-56ad-9663-a051f3a33b04,2023-04-30,Consumer To Merchant,5,#EF0F0 - Prenzlauer Berg - 2023-04-30
Prenzlauer Berg,#EBCC7,20420d01-8542-5439-9fda-4b08df9d7f78,2023-04-28,Consumer To Merchant,5,#EBCC7 - Prenzlauer Berg - 2023-04-28
Bergmannkiez,#0315F,31db6d6f-09ac-533f-b02c-be009d5e5b18,2023-04-30,Consumer To Merchant,5,#0315F - Bergmannkiez - 2023-04-30
Friedrichshain,#C9725,66d4ccb6-e730-5ae4-a85a-39b6ee341675,2023-04-28,Consumer To Merchant,5,#C9725 - Friedrichshain - 2023-04-28
Samariterkiez,#E7605,1a4844ab-0a44-5e2e-bdbf-4eb10a4b47fd,2023-04-26,Consumer To Merchant,5,#E7605 - Samariterkiez - 2023-04-26
Samariterkiez,#C31CA,c7324798-baf1-5c76-884a-791b8f9c1891,2023-04-25,Consumer To Merchant,1,#C31CA - Samariterkiez - 2023-04-25
Prenzlauer Berg,#D83BC,d48f02a7-bbf1-50a2-a87e-0d4a67aee7d9,2023-04-30,Consumer To Merchant,5,#D83BC - Prenzlauer Berg - 2023-04-30
Charlottenburg,#539FD,ee3b786d-845e-57b2-b546-9b7999c5dfd7,2023-04-17,Consumer To Merchant,5,#539FD - Charlottenburg - 2023-04-17
Friedrichshain,#37175,85f70fca-be30-5f4a-bcb5-553b175df1ca,2023-04-22,Consumer To Merchant,4,#37175 - Friedrichshain - 2023-04-22
Prenzlauer Berg,#3FE2E,a622363e-bbba-550c-baee-6e09c432d8b7,2023-04-21,Consumer To Merchant,5,#3FE2E - Prenzlauer Berg - 2023-04-21
Prenzlauer Berg,#6732C,4b7f1a77-605a-5eac-b615-f7c7710e781b,2023-04-21,Consumer To Merchant,4,#6732C - Prenzlauer Berg - 2023-04-21
Samariterkiez,#FE18A,1f467896-56e6-5e40-9bf4-225a37719225,2023-04-30,Consumer To Merchant,2,#FE18A - Samariterkiez - 2023-04-30
Friedrichshain,#AA28D,ac34181a-4a76-568f-8554-0d5203eabaf7,2023-04-30,Consumer To Merchant,5,#AA28D - Friedrichshain - 2023-04-30
Friedrichshain,#E7794,e3fa03fa-7638-5ca2-acaa-f561ea118d51,2023-04-29,Consumer To Merchant,4,#E7794 - Friedrichshain - 2023-04-29
Samariterkiez,#3C4FF,60dd73e7-1b8b-53a9-9e9a-e137eb1566c8,2023-04-27,Consumer To Merchant,5,#3C4FF - Samariterkiez - 2023-04-27
Friedrichshain,#F2F03,c156038f-c5f7-56b1-b14b-eedb1ddb04e4,2023-04-30,Consumer To Merchant,5,#F2F03 - Friedrichshain - 2023-04-30
Prenzlauer Berg,#1A6A2,97d02fd9-ae02-51d3-895b-3f5d7f76ff89,2023-04-24,Consumer To Merchant,5,#1A6A2 - Prenzlauer Berg - 2023-04-24
Kreuzberg,#79437,9f9011fc-2706-543c-ad0a-664524d0aaf5,2023-04-22,Consumer To Merchant,4,#79437 - Kreuzberg - 2023-04-22
Prenzlauer Berg,#3EF93,5d3dc772-dab1-592f-9304-297979c1dcb4,2023-04-21,Consumer To Merchant,5,#3EF93 - Prenzlauer Berg - 2023-04-21
Prenzlauer Berg,#8A1F1,de44779f-e0ac-5112-9f7c-6ef454d547f7,2023-04-25,Consumer To Merchant,5,#8A1F1 - Prenzlauer Berg - 2023-04-25
Samariterkiez,#7E8B4,1f73c7f0-5d50-5219-8c6f-35eaa68027bc,2023-04-24,Consumer To Merchant,5,#7E8B4 - Samariterkiez - 2023-04-24
Prenzlauer Berg,#2F3DC,5a407956-9668-5ace-97c7-8565b36011d9,2023-04-14,Consumer To Merchant,5,#2F3DC - Prenzlauer Berg - 2023-04-14
Mitte,#C1820,440fcddf-631a-59da-8b9a-ee060ba5676d,2023-04-19,Consumer To Merchant,4,#C1820 - Mitte - 2023-04-19
Mitte,#BFC9F,4a53ecc1-f63d-5fe2-9737-0f464a5c6fbe,2023-04-13,Consumer To Merchant,5,#BFC9F - Mitte - 2023-04-13
Prenzlauer Berg,#12B8F,72af6adc-1c3b-546c-b701-7488ba95dcaf,2023-04-25,Consumer To Merchant,5,#12B8F - Prenzlauer Berg - 2023-04-25
Prenzlauer Berg,#9F6CD,076f3cfc-be3e-563a-bc66-12c7273016b9,2023-04-27,Consumer To Merchant,5,#9F6CD - Prenzlauer Berg - 2023-04-27
Samariterkiez,#17F0B,0b15698a-bf11-5adb-8fd7-17dfa1628291,2023-04-27,Consumer To Merchant,5,#17F0B - Samariterkiez - 2023-04-27
Prenzlauer Berg,#BBA66,15ccbc9c-10b9-5442-821f-687ef9a75e51,2023-04-25,Consumer To Merchant,5,#BBA66 - Prenzlauer Berg - 2023-04-25
Bergmannkiez,#A36D7,72249333-0009-517d-bb4e-4c3c464bd55c,2023-04-18,Consumer To Merchant,5,#A36D7 - Bergmannkiez - 2023-04-18
Samariterkiez,#01FF1,d441cb25-aed1-50d7-9f08-112415dfd533,2023-04-24,Consumer To Merchant,5,#01FF1 - Samariterkiez - 2023-04-24
Friedrichshain,#E9559,ec627b7d-61fd-5d90-b869-7cafc694cae2,2023-04-24,Consumer To Merchant,5,#E9559 - Friedrichshain - 2023-04-24
Samariterkiez,#E449B,6303e7f5-2edb-5b94-984a-40e6e6b91601,2023-04-26,Consumer To Merchant,3,#E449B - Samariterkiez - 2023-04-26
Prenzlauer Berg,#7D898,35562c25-bfa3-5512-b32a-1b796425991a,2023-04-29,Consumer To Merchant,5,#7D898 - Prenzlauer Berg - 2023-04-29
Charlottenburg,#9FC96,dd4252e3-9166-5429-af4d-359b93142b72,2023-04-29,Consumer To Merchant,5,#9FC96 - Charlottenburg - 2023-04-29
Prenzlauer Berg,#8EBDB,23cadd67-6cbb-5add-be6a-1438c33c5332,2023-04-28,Consumer To Merchant,5,#8EBDB - Prenzlauer Berg - 2023-04-28
Prenzlauer Berg,#879CC,71a995fb-30ad-5bd4-89fb-d7f7c4a14b18,2023-04-22,Consumer To Merchant,5,#879CC - Prenzlauer Berg - 2023-04-22
Charlottenburg,#965E2,e142a395-4550-58fb-8af0-1d5262673b75,2023-04-14,Consumer To Merchant,1,#965E2 - Charlottenburg - 2023-04-14
Bergmannkiez,#DED9A,3ebc3e7e-8d15-57b7-801e-d8db63009a62,2023-04-21,Consumer To Merchant,4,#DED9A - Bergmannkiez - 2023-04-21
Friedrichshain,#03CE3,1acd4189-604b-5e7e-b5e5-05401e247dba,2023-04-14,Consumer To Merchant,5,#03CE3 - Friedrichshain - 2023-04-14
Samariterkiez,#B9900,07fea5ab-89c3-5754-8da2-e33b51219efb,2023-04-24,Consumer To Merchant,5,#B9900 - Samariterkiez - 2023-04-24
Kreuzberg,#85D51,a6f2c296-52f1-52b7-b0ec-e386eac31571,2023-04-22,Consumer To Merchant,5,#85D51 - Kreuzberg - 2023-04-22
Bergmannkiez,#EE011,9abe7920-ce72-56db-aaaf-c79648bd588b,2023-04-17,Consumer To Merchant,5,#EE011 - Bergmannkiez - 2023-04-17
Kreuzberg,#29A32,2ca79349-2a0d-5667-a44c-13a1f97fe261,2023-04-14,Consumer To Merchant,3,#29A32 - Kreuzberg - 2023-04-14
Prenzlauer Berg,#00616,be5b150d-5415-5121-a944-b6770632580f,2023-04-19,Consumer To Merchant,5,#00616 - Prenzlauer Berg - 2023-04-19
Mitte,#FB651,9c15747c-2982-5267-b8af-06b1fc46d4b2,2023-04-23,Consumer To Merchant,2,#FB651 - Mitte - 2023-04-23
Prenzlauer Berg,#9B106,37087ab7-e553-5164-8342-7a000ef98ea1,2023-04-25,Consumer To Merchant,5,#9B106 - Prenzlauer Berg - 2023-04-25
Charlottenburg,#41C22,8cf2f585-9acd-5328-a3be-cdf87f7c2498,2023-04-22,Consumer To Merchant,4,#41C22 - Charlottenburg - 2023-04-22
Samariterkiez,#2CC6F,6bf6c959-31ac-5596-b797-87bc33fd54be,2023-04-27,Consumer To Merchant,5,#2CC6F - Samariterkiez - 2023-04-27
Prenzlauer Berg,#4A353,26b7f629-9a6a-5ce6-a572-2c3889443aad,2023-04-15,Consumer To Merchant,4,#4A353 - Prenzlauer Berg - 2023-04-15
Friedrichshain,#E62A1,43860540-4077-5d13-aa3d-3bb0bf9d6459,2023-04-30,Consumer To Merchant,5,#E62A1 - Friedrichshain - 2023-04-30
Prenzlauer Berg,#89E1C,8867e4de-252b-5f3a-bd17-bbcc95ee5279,2023-04-19,Consumer To Merchant,5,#89E1C - Prenzlauer Berg - 2023-04-19
Prenzlauer Berg,#9436D,15e8f1fe-9295-5102-9505-fa1f1cba3609,2023-04-15,Consumer To Merchant,4,#9436D - Prenzlauer Berg - 2023-04-15
Prenzlauer Berg,#709A0,11dab41f-ff54-5627-b0b4-bf408c804fcb,2023-04-26,Consumer To Merchant,5,#709A0 - Prenzlauer Berg - 2023-04-26
Prenzlauer Berg,#9E3FA,e7d4aa97-d749-5d06-bdeb-f804624945f3,2023-04-18,Consumer To Merchant,5,#9E3FA - Prenzlauer Berg - 2023-04-18
Charlottenburg,#B0F4A,212e1da4-b0ef-5899-8498-4b047c12db6f,2023-04-24,Consumer To Merchant,5,#B0F4A - Charlottenburg - 2023-04-24
Charlottenburg,#1E6E5,d10bbf2c-0eb4-5129-8433-f66ff64b42bf,2023-04-21,Consumer To Merchant,4,#1E6E5 - Charlottenburg - 2023-04-21
Prenzlauer Berg,#53601,91591446-b211-5306-ac40-23dd492b3ec9,2023-04-06,Consumer To Merchant,5,#53601 - Prenzlauer Berg - 2023-04-06
Bergmannkiez,#49FBB,5e05cb1b-cb1a-56ae-b9b2-42a3be790734,2023-04-09,Consumer To Merchant,5,#49FBB - Bergmannkiez - 2023-04-09
Bergmannkiez,#A7962,f9a2cf3f-d691-53d8-92ee-dd4b601810cd,2023-04-08,Consumer To Merchant,2,#A7962 - Bergmannkiez - 2023-04-08
Friedrichshain,#95571,ef746734-89cd-5275-b03e-ce9d962a6347,2023-04-26,Consumer To Merchant,5,#95571 - Friedrichshain - 2023-04-26
Prenzlauer Berg,#E3D14,ec6eb3db-d005-5a4c-b743-57426d362990,2023-04-12,Consumer To Merchant,5,#E3D14 - Prenzlauer Berg - 2023-04-12
Prenzlauer Berg,#BF256,05216825-8732-5c7f-b52b-451bf42f5f65,2023-04-10,Consumer To Merchant,4,#BF256 - Prenzlauer Berg - 2023-04-10
Bergmannkiez,#1D993,22eb6dde-dcbf-5f8b-9862-afcfc3225aa9,2023-04-09,Consumer To Merchant,5,#1D993 - Bergmannkiez - 2023-04-09
Prenzlauer Berg,#7D4D2,d2aa1900-f6de-5f43-bd1a-0c8a819d8c22,2023-04-11,Consumer To Merchant,5,#7D4D2 - Prenzlauer Berg - 2023-04-11
Prenzlauer Berg,#2C018,e919c683-b5bf-5f0a-84e4-d91020cb6ba2,2023-04-09,Consumer To Merchant,5,#2C018 - Prenzlauer Berg - 2023-04-09
Prenzlauer Berg,#32B75,06540af7-954c-5ea4-8d4a-c595df7e0773,2023-04-18,Consumer To Merchant,5,#32B75 - Prenzlauer Berg - 2023-04-18
Friedrichshain,#F24D8,6aec41f9-13b3-5278-a0ab-cec816a07fa6,2023-04-19,Consumer To Merchant,5,#F24D8 - Friedrichshain - 2023-04-19
Friedrichshain,#CB417,eb15ef6f-f0d0-5589-a7f5-4da23a053adc,2023-04-21,Consumer To Merchant,5,#CB417 - Friedrichshain - 2023-04-21
Prenzlauer Berg,#910DC,a2f46935-f0bf-5687-bf08-dbda72589dc0,2023-04-14,Consumer To Merchant,5,#910DC - Prenzlauer Berg - 2023-04-14
Bergmannkiez,#8FD53,11cee386-714e-58ec-abe6-37670dabe420,2023-04-29,Consumer To Merchant,5,#8FD53 - Bergmannkiez - 2023-04-29
Prenzlauer Berg,#9161F,c1fe25cf-a1af-56d2-9220-1a0a743a2c0a,2023-04-16,Consumer To Merchant,5,#9161F - Prenzlauer Berg - 2023-04-16
Friedrichshain,#3DDC3,60a5f59c-0b8d-5d73-b5bd-a7770f7a9b1e,2023-04-16,Consumer To Merchant,5,#3DDC3 - Friedrichshain - 2023-04-16
Samariterkiez,#A3CC7,4f779bc8-38f6-5e0d-8b4c-89ef158b1cd2,2023-04-25,Consumer To Merchant,5,#A3CC7 - Samariterkiez - 2023-04-25
Bergmannkiez,#16F82,1fbe90c9-1aec-5001-bbc1-abe41cb4c40d,2023-04-10,Consumer To Merchant,5,#16F82 - Bergmannkiez - 2023-04-10
Prenzlauer Berg,#5065B,96b45d3f-0be2-5f19-8782-9e56628e8627,2023-04-24,Consumer To Merchant,4,#5065B - Prenzlauer Berg - 2023-04-24
Prenzlauer Berg,#01446,f6030c61-192a-5f4f-aefc-ca58326896f2,2023-04-09,Consumer To Merchant,5,#01446 - Prenzlauer Berg - 2023-04-09
Prenzlauer Berg,#34E38,37603b66-ab56-5230-9205-e45c453fa150,2023-04-08,Consumer To Merchant,5,#34E38 - Prenzlauer Berg - 2023-04-08
Friedrichshain,#993AF,5e624d04-0334-5857-98c1-f1b09d9c08ea,2023-04-21,Consumer To Merchant,5,#993AF - Friedrichshain - 2023-04-21
Prenzlauer Berg,#DB9AE,9790664d-3061-54ce-a834-685366d04537,2023-04-14,Consumer To Merchant,4,#DB9AE - Prenzlauer Berg - 2023-04-14
Prenzlauer Berg,#08FE7,50cbc19b-5e5a-591a-82a4-82010281ab63,2023-04-15,Consumer To Merchant,5,#08FE7 - Prenzlauer Berg - 2023-04-15
Charlottenburg,#6B026,12af5e78-9185-574e-88ad-13e656972896,2023-04-15,Consumer To Merchant,5,#6B026 - Charlottenburg - 2023-04-15
Friedrichshain,#4B768,185d139c-4b17-5701-a74c-529ae85f1cd2,2023-04-23,Consumer To Merchant,5,#4B768 - Friedrichshain - 2023-04-23
Prenzlauer Berg,#2D3BE,1e8d1b92-626c-5d60-a3bd-61eef0e39d7a,2023-04-07,Consumer To Merchant,5,#2D3BE - Prenzlauer Berg - 2023-04-07
Prenzlauer Berg,#30A52,550c251a-f3e3-5057-b989-38f32ea4e600,2023-04-10,Consumer To Merchant,5,#30A52 - Prenzlauer Berg - 2023-04-10
Prenzlauer Berg,#3F80C,ebd8d9b1-0e21-5ecd-bfb5-d6debbb29bd1,2023-04-08,Consumer To Merchant,5,#3F80C - Prenzlauer Berg - 2023-04-08
Prenzlauer Berg,#3728F,38f23030-34bb-5fdf-8dff-c2e0d77f0cd2,2023-04-23,Consumer To Merchant,4,#3728F - Prenzlauer Berg - 2023-04-23
Prenzlauer Berg,#928F4,cc3110b5-ef5d-53e3-a278-dd42d94e1f4b,2023-04-29,Consumer To Merchant,5,#928F4 - Prenzlauer Berg - 2023-04-29
Samariterkiez,#9BC94,be827066-8519-57d8-8b16-918ae6dfe5f6,2023-04-29,Consumer To Merchant,1,#9BC94 - Samariterkiez - 2023-04-29
Friedrichshain,#D9875,5bf4b00f-5bac-5c9d-b128-85044e40affc,2023-04-08,Consumer To Merchant,5,#D9875 - Friedrichshain - 2023-04-08
Mitte,#36529,795504df-03df-5d0a-a28b-64e95d8a1cf4,2023-04-16,Consumer To Merchant,4,#36529 - Mitte - 2023-04-16
Prenzlauer Berg,#91D82,069353b7-cd37-55ec-bdd1-fb96aeb28208,2023-04-11,Consumer To Merchant,5,#91D82 - Prenzlauer Berg - 2023-04-11
Friedrichshain,#6C902,321c4303-f54b-524a-be61-36414f4487cd,2023-04-23,Consumer To Merchant,5,#6C902 - Friedrichshain - 2023-04-23
Charlottenburg,#E3213,e342b80e-267b-5050-807f-4b65993850f3,2023-04-09,Consumer To Merchant,5,#E3213 - Charlottenburg - 2023-04-09
Friedrichshain,#7B319,78cdb6e9-bc2a-51c8-a9c6-663fd70fcbd0,2023-04-13,Consumer To Merchant,5,#7B319 - Friedrichshain - 2023-04-13
Charlottenburg,#CBADA,b4b3fd70-2405-5563-b178-965fc46c3371,2023-04-08,Consumer To Merchant,5,#CBADA - Charlottenburg - 2023-04-08
Bergmannkiez,#C7A1E,eb522ea3-2d62-569f-ac2b-b6d27dffd1ba,2023-04-11,Consumer To Merchant,5,#C7A1E - Bergmannkiez - 2023-04-11
Charlottenburg,#AE84B,a2de40ac-d58e-585b-9860-b9901c26a2e5,2023-04-16,Consumer To Merchant,4,#AE84B - Charlottenburg - 2023-04-16
Charlottenburg,#45E6D,4395bd06-04e5-5c2c-b8ee-d3942cba9177,2023-04-21,Consumer To Merchant,5,#45E6D - Charlottenburg - 2023-04-21
Charlottenburg,#F72C7,857bba5a-da08-5905-8e6a-d362687e6190,2023-04-04,Consumer To Merchant,5,#F72C7 - Charlottenburg - 2023-04-04
Charlottenburg,#2A3E8,c0dfe591-5416-547b-93b8-26232077b19f,2023-04-16,Consumer To Merchant,5,#2A3E8 - Charlottenburg - 2023-04-16
Charlottenburg,#E3F5D,67192c73-e04d-57cf-919c-c94e286a2c20,2023-04-16,Consumer To Merchant,5,#E3F5D - Charlottenburg - 2023-04-16
Prenzlauer Berg,#82E18,c0984cf3-7f0e-5a88-a910-3dd4b182c81f,2023-04-19,Consumer To Merchant,5,#82E18 - Prenzlauer Berg - 2023-04-19
Mitte,#76D89,7f1f3a9a-0ea1-5203-b93f-480a7aa10ed1,2023-04-07,Consumer To Merchant,5,#76D89 - Mitte - 2023-04-07
Bergmannkiez,#C5083,563bcab0-1bd6-5500-b9fa-3b9f77ae032f,2023-04-06,Consumer To Merchant,1,#C5083 - Bergmannkiez - 2023-04-06
Bergmannkiez,#BB911,af54bee5-9433-535a-988e-4a5f826c3991,2023-04-06,Consumer To Merchant,5,#BB911 - Bergmannkiez - 2023-04-06
Prenzlauer Berg,#629D7,b3588e6a-b726-5e5d-989d-da0ff641b1f1,2023-04-16,Consumer To Merchant,5,#629D7 - Prenzlauer Berg - 2023-04-16
Prenzlauer Berg,#BA244,be1bf67e-af8d-537a-a3de-672bf9682de8,2023-04-24,Consumer To Merchant,3,#BA244 - Prenzlauer Berg - 2023-04-24
Prenzlauer Berg,#C9EA0,0e1cddca-67bc-5cfa-b30d-9d4191d095cc,2023-04-24,Consumer To Merchant,5,#C9EA0 - Prenzlauer Berg - 2023-04-24
Charlottenburg,#AA73D,9f2d96a8-9d77-5310-816c-62cedfeea944,2023-04-16,Consumer To Merchant,5,#AA73D - Charlottenburg - 2023-04-16
Prenzlauer Berg,#2354A,c3d304fa-d231-5f1f-9b51-7b17eff367b8,2023-04-03,Consumer To Merchant,5,#2354A - Prenzlauer Berg - 2023-04-03
Kreuzberg,#37DB1,3aafa4de-d30e-50f3-92f1-a302a077e260,2023-04-16,Consumer To Merchant,5,#37DB1 - Kreuzberg - 2023-04-16
Friedrichshain,#1814E,cbb9872f-5933-532c-8cf0-3370291cc2e7,2023-04-23,Consumer To Merchant,5,#1814E - Friedrichshain - 2023-04-23
Bergmannkiez,#D3A6E,13141b65-0fa3-50f7-821e-49a2b2a57638,2023-04-23,Consumer To Merchant,5,#D3A6E - Bergmannkiez - 2023-04-23
Mitte,#A022D,1d9123fb-5485-59e5-b4b5-aae903193678,2023-04-23,Consumer To Merchant,5,#A022D - Mitte - 2023-04-23
Friedrichshain,#15D28,62ca3a89-cc26-56fa-8f38-06007b0e0a34,2023-04-10,Consumer To Merchant,5,#15D28 - Friedrichshain - 2023-04-10
Kreuzberg,#E4D45,fd621e73-3abb-51c2-aee6-d909f16cb34b,2023-04-10,Consumer To Merchant,4,#E4D45 - Kreuzberg - 2023-04-10
